"ID" "name" "long" "lat" "primary" "secondary" "tertiary" "gdp" "temp" "humi" "wind"
80175 "ankang" 109.029003 32.684793 182.6 458.88 575.65 49390 16.6260273972603 75.2301369863014 1.14301369863014
80176 "anqing" 117.11486 30.532882 256.5 1224.18 1397.6 69583 17.7643835616438 74.1397260273973 2.55150684931507
80177 "anshun" 105.947999 26.253001 202.01 297.52 600.81 44777 14.92 82.0383561643836 3.70821917808219
80178 "anyang" 114.393003 36.099999 222.53 1026.92 1236.69 46070 15.6416438356164 59.8712328767123 2.56027397260274
80179 "anshan" 122.994999 41.108699 125.2 807 1079.7 62096 12.0252054794521 52.9561643835616 2.67260273972603
80180 "bazhong" 106.744997 31.8672 195.2 176.58 408.5 29517 17.0312328767123 75.1287671232877 1.66219178082192
80181 "baise" 106.617999 23.902499 331.01 849.4 669.41 52321 23.9904109589041 71.7013698630137 1.68356164383562
80182 "bangbu" 117.389001 32.915498 280.38 682.8 1152.75 64402 16.7265753424658 69.2876712328767 2.45150684931507
80183 "baoji" 107.237997 34.363098 240.84 1488.4 912.14 80998 14.7550684931507 63.1479452054795 1.01835616438356
80184 "baoding" 115.464996 38.873901 466.9 1351.8 2193.5 43986 13.6594520547945 62.6493150684932 1.71479452054795
80185 "beihai" 109.119998 21.480994 245.1 796.2 709.6 92901 24.0846575342466 80.9205479452055 2.20602739726027
80186 "beijing" 116.407004 39.904595 0.2 14.9 84.8 200278 14.3950684931507 51.0821917808219 1.92657534246575
80187 "benxi" 123.686003 41.486998 59.4 464.1 447.5 77217.4 10.0487671232877 62.4465753424658 2.34931506849315
80188 "bijie" 105.292001 27.284499 554.18 580.69 1167.16 33984 14.7334246575342 75.3315068493151 1.23369863013699
80189 "binzhou" 117.970997 37.3819 303.22 1300.45 1515.18 79738 14.5578082191781 61.7698630136986 2.15890410958904
80190 "bozhou" 115.778003 33.844498 286.42 772.23 1157.16 44941 16.9032876712329 65.9232876712329 2.30191780821918
80191 "cangzhou" 116.839 38.304399 372.4 1686.9 2380.8 60909 14.6641095890411 57.2356164383562 2.19890410958904
